instance,algo,seed,epsilon,horizon,reg
../instances/i-1.txt,thompson-sampling,33,0.02,400,-7.0
../instances/i-1.txt,thompson-sampling,33,0.02,1000,2.0
../instances/i-1.txt,thompson-sampling,34,0.02,100,-1.0
../instances/i-1.txt,thompson-sampling,34,0.02,400,11.0
../instances/i-1.txt,thompson-sampling,34,0.02,1000,14.0
../instances/i-1.txt,thompson-sampling,35,0.02,100,-2.0
../instances/i-1.txt,thompson-sampling,35,0.02,400,2.0
../instances/i-1.txt,thompson-sampling,35,0.02,1000,15.0
../instances/i-1.txt,thompson-sampling,36,0.02,100,6.0
../instances/i-1.txt,thompson-sampling,36,0.02,400,1.0
../instances/i-1.txt,thompson-sampling,36,0.02,1000,13.0
../instances/i-1.txt,thompson-sampling,37,0.02,100,3.0
../instances/i-1.txt,thompson-sampling,37,0.02,400,7.0
../instances/i-1.txt,thompson-sampling,37,0.02,1000,11.0
../instances/i-1.txt,thompson-sampling,38,0.02,100,6.0
../instances/i-1.txt,thompson-sampling,38,0.02,400,6.0
../instances/i-1.txt,thompson-sampling,38,0.02,1000,1.0
../instances/i-1.txt,thompson-sampling,39,0.02,100,3.0
../instances/i-1.txt,thompson-sampling,39,0.02,400,7.0
../instances/i-1.txt,thompson-sampling,39,0.02,1000,19.0
../instances/i-1.txt,thompson-sampling,40,0.02,100,-5.0
../instances/i-1.txt,thompson-sampling,40,0.02,400,-6.0
../instances/i-1.txt,thompson-sampling,40,0.02,1000,4.0
../instances/i-1.txt,thompson-sampling,41,0.02,100,6.0
../instances/i-1.txt,thompson-sampling,41,0.02,400,6.0
../instances/i-1.txt,thompson-sampling,41,0.02,1000,-11.0
../instances/i-1.txt,thompson-sampling,42,0.02,100,4.0
../instances/i-1.txt,thompson-sampling,42,0.02,400,1.0
../instances/i-1.txt,thompson-sampling,42,0.02,1000,3.0
../instances/i-1.txt,thompson-sampling,43,0.02,100,-1.0
../instances/i-1.txt,thompson-sampling,43,0.02,400,-10.0
../instances/i-1.txt,thompson-sampling,43,0.02,1000,-12.0
../instances/i-1.txt,thompson-sampling,44,0.02,100,7.0
../instances/i-1.txt,thompson-sampling,44,0.02,400,10.0
../instances/i-1.txt,thompson-sampling,44,0.02,1000,20.0
../instances/i-1.txt,thompson-sampling,45,0.02,100,-4.0
../instances/i-1.txt,thompson-sampling,45,0.02,400,-16.0
../instances/i-1.txt,thompson-sampling,45,0.02,1000,-25.0
../instances/i-1.txt,thompson-sampling,46,0.02,100,4.0
../instances/i-1.txt,thompson-sampling,46,0.02,400,4.0
../instances/i-1.txt,thompson-sampling,46,0.02,1000,-5.0
../instances/i-1.txt,thompson-sampling,47,0.02,100,5.0
../instances/i-1.txt,thompson-sampling,47,0.02,400,14.0
../instances/i-1.txt,thompson-sampling,47,0.02,1000,-11.0
../instances/i-1.txt,thompson-sampling,48,0.02,100,6.0
../instances/i-1.txt,thompson-sampling,48,0.02,400,15.0
../instances/i-1.txt,thompson-sampling,48,0.02,1000,25.0
../instances/i-1.txt,thompson-sampling,49,0.02,100,2.0
../instances/i-1.txt,thompson-sampling,49,0.02,400,-17.0
../instances/i-1.txt,thompson-sampling,49,0.02,1000,-18.0
../instances/i-1.txt,thompson-sampling-with-hint,0,0.02,100,22.0
../instances/i-1.txt,thompson-sampling-with-hint,0,0.02,400,109.0
../instances/i-1.txt,thompson-sampling-with-hint,0,0.02,1000,297.0
../instances/i-1.txt,thompson-sampling-with-hint,1,0.02,100,24.0
../instances/i-1.txt,thompson-sampling-with-hint,1,0.02,400,114.0
../instances/i-1.txt,thompson-sampling-with-hint,1,0.02,1000,296.0
../instances/i-1.txt,thompson-sampling-with-hint,2,0.02,100,28.0
../instances/i-1.txt,thompson-sampling-with-hint,2,0.02,400,125.0
../instances/i-1.txt,thompson-sampling-with-hint,2,0.02,1000,319.0
../instances/i-1.txt,thompson-sampling-with-hint,3,0.02,100,36.0
../instances/i-1.txt,thompson-sampling-with-hint,3,0.02,400,109.0
../instances/i-1.txt,thompson-sampling-with-hint,3,0.02,1000,285.0
../instances/i-1.txt,thompson-sampling-with-hint,4,0.02,100,31.0
../instances/i-1.txt,thompson-sampling-with-hint,4,0.02,400,110.0
../instances/i-1.txt,thompson-sampling-with-hint,4,0.02,1000,263.0
../instances/i-1.txt,thompson-sampling-with-hint,5,0.02,100,36.0
../instances/i-1.txt,thompson-sampling-with-hint,5,0.02,400,129.0
../instances/i-1.txt,thompson-sampling-with-hint,5,0.02,1000,311.0
../instances/i-1.txt,thompson-sampling-with-hint,6,0.02,100,28.0
../instances/i-1.txt,thompson-sampling-with-hint,6,0.02,400,122.0
../instances/i-1.txt,thompson-sampling-with-hint,6,0.02,1000,283.0
../instances/i-1.txt,thompson-sampling-with-hint,7,0.02,100,32.0
../instances/i-1.txt,thompson-sampling-with-hint,7,0.02,400,113.0
../instances/i-1.txt,thompson-sampling-with-hint,7,0.02,1000,295.0
../instances/i-1.txt,thompson-sampling-with-hint,8,0.02,100,36.0
../instances/i-1.txt,thompson-sampling-with-hint,8,0.02,400,131.0
../instances/i-1.txt,thompson-sampling-with-hint,8,0.02,1000,305.0
../instances/i-1.txt,thompson-sampling-with-hint,9,0.02,100,26.0
../instances/i-1.txt,thompson-sampling-with-hint,9,0.02,400,103.0
../instances/i-1.txt,thompson-sampling-with-hint,9,0.02,1000,268.0
../instances/i-1.txt,thompson-sampling-with-hint,10,0.02,100,24.0
../instances/i-1.txt,thompson-sampling-with-hint,10,0.02,400,122.0
../instances/i-1.txt,thompson-sampling-with-hint,10,0.02,1000,324.0
../instances/i-1.txt,thompson-sampling-with-hint,11,0.02,100,37.0
../instances/i-1.txt,thompson-sampling-with-hint,11,0.02,400,121.0
../instances/i-1.txt,thompson-sampling-with-hint,11,0.02,1000,311.0
../instances/i-1.txt,thompson-sampling-with-hint,12,0.02,100,36.0
../instances/i-1.txt,thompson-sampling-with-hint,12,0.02,400,120.0
../instances/i-1.txt,thompson-sampling-with-hint,12,0.02,1000,321.0
../instances/i-1.txt,thompson-sampling-with-hint,13,0.02,100,29.0
../instances/i-1.txt,thompson-sampling-with-hint,13,0.02,400,136.0
../instances/i-1.txt,thompson-sampling-with-hint,13,0.02,1000,309.0
../instances/i-1.txt,thompson-sampling-with-hint,14,0.02,100,35.0
../instances/i-1.txt,thompson-sampling-with-hint,14,0.02,400,126.0
../instances/i-1.txt,thompson-sampling-with-hint,14,0.02,1000,291.0
../instances/i-1.txt,thompson-sampling-with-hint,15,0.02,100,31.0
../instances/i-1.txt,thompson-sampling-with-hint,15,0.02,400,120.0
../instances/i-1.txt,thompson-sampling-with-hint,15,0.02,1000,286.0
../instances/i-1.txt,thompson-sampling-with-hint,16,0.02,100,37.0
../instances/i-1.txt,thompson-sampling-with-hint,16,0.02,400,129.0
../instances/i-1.txt,thompson-sampling-with-hint,16,0.02,1000,295.0
../instances/i-1.txt,thompson-sampling-with-hint,17,0.02,100,22.0
../instances/i-1.txt,thompson-sampling-with-hint,17,0.02,400,103.0
../instances/i-1.txt,thompson-sampling-with-hint,17,0.02,1000,265.0
../instances/i-1.txt,thompson-sampling-with-hint,18,0.02,100,33.0
